trial_n,rho,choice,condition,task,ITI,ISI,block,first
1,143,0,0,1,504,784,1,0
2,38,0,0,1,816,784,1,0
3,149,1,0,1,506,327,1,0
4,60,1,0,1,450,327,1,0
5,41,0,0,1,450,395,1,0
6,116,1,0,1,450,374,1,0
1,99,1,1,1,904,602,1,0
2,39,0,1,1,290,586,1,0
3,149,1,1,1,290,602,1,0
4,123,0,1,1,279,586,1,0
5,67,0,1,1,279,999,1,0
6,83,1,1,1,435,325,1,0
1,107,0,0,1,345,283,2,0
2,44,1,0,1,803,328,2,0
3,37,0,0,1,411,950,2,0
4,42,1,0,1,411,950,2,0
5,141,1,0,1,803,800,2,0
6,107,0,0,1,411,800,2,0
1,125,1,1,1,463,260,2,0
2,36,0,1,1,463,260,2,0
3,91,1,1,1,456,494,2,0
4,115,0,1,1,898,946,2,0
5,89,1,1,1,898,327,2,0
6,113,0,1,1,770,494,2,0
