trial_n,rho,choice,condition,task,ITI,ISI,block,first
1,99,1,0,2,380,282,1,2
2,80,1,0,2,306,294,1,0
3,36,0,0,2,718,719,1,0
4,131,0,0,2,785,643,1,0
5,139,1,0,2,423,748,1,0
6,112,0,0,2,380,596,1,0
7,126,0,0,2,362,643,1,0
8,86,1,0,2,718,643,1,0
9,101,0,0,2,847,294,1,0
10,167,0,0,2,507,438,1,0
11,170,1,0,2,367,719,1,0
12,148,1,0,2,367,538,1,0
13,114,0,0,2,889,973,1,0
14,145,1,0,2,380,399,1,0
15,148,0,0,2,705,425,1,0
16,152,1,0,2,384,596,1,0
17,79,0,0,2,507,823,1,0
18,135,1,0,2,773,962,1,0
19,63,1,0,2,420,425,1,0
20,168,0,0,2,773,473,1,0
1,146,1,1,2,331,314,1,2
2,154,1,1,2,513,285,1,0
3,174,0,1,2,309,285,1,0
4,42,0,1,2,393,361,1,0
5,115,1,1,2,479,685,1,0
6,131,1,1,2,804,361,1,0
7,145,0,1,2,680,285,1,0
8,167,1,1,2,614,566,1,0
9,171,0,1,2,384,566,1,0
10,72,1,1,2,385,905,1,0
11,91,0,1,2,937,326,1,0
12,151,1,1,2,309,377,1,0
13,69,0,1,2,804,650,1,0
14,108,0,1,2,923,361,1,0
15,161,1,1,2,804,314,1,0
16,127,1,1,2,385,628,1,0
17,30,0,1,2,331,993,1,0
18,152,1,1,2,923,314,1,0
19,132,0,1,2,330,260,1,0
20,114,0,1,2,680,814,1,0
1,50,1,2,2,405,902,1,2
2,114,0,2,2,443,263,1,0
3,79,1,2,2,281,282,1,0
4,84,0,2,2,814,407,1,0
5,97,1,2,2,529,599,1,0
6,65,0,2,2,299,564,1,0
7,158,0,2,2,440,599,1,0
8,132,1,2,2,410,407,1,0
9,44,1,2,2,410,298,1,0
10,133,0,2,2,835,535,1,0
11,60,1,2,2,449,821,1,0
12,27,0,2,2,835,295,1,0
13,54,0,2,2,449,281,1,0
14,28,1,2,2,436,282,1,0
15,97,0,2,2,481,873,1,0
16,144,0,2,2,374,369,1,0
17,56,1,2,2,813,707,1,0
18,144,1,2,2,814,501,1,0
19,139,0,2,2,361,812,1,0
20,147,1,2,2,410,295,1,0
1,144,1,3,2,448,326,1,2
2,97,0,3,2,341,389,1,0
3,163,1,3,2,966,421,1,0
4,168,1,3,2,608,811,1,0
5,170,0,3,2,448,367,1,0
6,130,0,3,2,777,625,1,0
7,150,1,3,2,443,657,1,0
8,104,1,3,2,780,494,1,0
9,70,0,3,2,357,421,1,0
10,82,1,3,2,865,590,1,0
11,64,0,3,2,608,579,1,0
12,162,0,3,2,589,494,1,0
13,49,1,3,2,474,330,1,0
14,127,0,3,2,589,657,1,0
15,144,1,3,2,608,945,1,0
16,122,0,3,2,341,367,1,0
17,51,1,3,2,270,494,1,0
18,104,0,3,2,608,352,1,0
19,113,1,3,2,578,657,1,0
20,110,0,3,2,378,389,1,0
1,109,1,4,2,611,291,1,2
2,70,0,4,2,291,537,1,0
3,106,0,4,2,264,775,1,0
4,64,1,4,2,302,461,1,0
5,78,1,4,2,419,446,1,0
6,51,0,4,2,302,509,1,0
7,72,1,4,2,369,556,1,0
8,170,1,4,2,512,709,1,0
9,63,0,4,2,945,823,1,0
10,56,0,4,2,743,413,1,0
11,90,1,4,2,877,561,1,0
12,132,0,4,2,306,535,1,0
13,124,1,4,2,253,666,1,0
14,34,1,4,2,419,561,1,0
15,149,0,4,2,582,339,1,0
16,142,0,4,2,302,709,1,0
17,34,1,4,2,389,537,1,0
18,122,0,4,2,477,427,1,0
19,45,0,4,2,419,291,1,0
20,135,1,4,2,975,446,1,0
1,131,1,5,2,273,631,1,2
2,38,1,5,2,395,279,1,0
3,141,0,5,2,999,469,1,0
4,58,1,5,2,560,731,1,0
5,147,0,5,2,273,409,1,0
6,107,0,5,2,390,378,1,0
7,86,1,5,2,519,408,1,0
8,64,0,5,2,612,330,1,0
9,144,0,5,2,666,408,1,0
10,146,1,5,2,417,432,1,0
11,25,0,5,2,581,713,1,0
12,146,1,5,2,390,902,1,0
13,50,1,5,2,390,432,1,0
14,157,0,5,2,399,378,1,0
15,129,1,5,2,731,269,1,0
16,91,0,5,2,666,333,1,0
17,138,1,5,2,585,269,1,0
18,32,1,5,2,417,378,1,0
19,166,0,5,2,259,535,1,0
20,87,0,5,2,259,500,1,0
1,156,0,0,2,793,432,2,0
2,80,1,0,2,781,427,2,0
3,119,0,0,2,779,345,2,0
4,112,0,0,2,601,339,2,0
5,45,1,0,2,331,900,2,0
6,139,0,0,2,783,424,2,0
