trial_n,gen,condition,task,ITI,ISI,block
1,1,0,4,807,433,1
2,5,0,4,369,692,1
3,0,0,4,454,991,1
4,3,0,4,255,981,1
5,7,0,4,664,476,1
6,8,0,4,744,283,1
7,2,0,4,551,589,1
8,4,0,4,320,400,1
9,3,0,4,293,689,1
10,8,0,4,792,256,1
11,5,0,4,365,644,1
12,6,0,4,878,642,1
13,7,0,4,277,846,1
14,0,0,4,314,320,1
15,4,0,4,318,254,1
16,1,0,4,351,856,1
17,6,0,4,722,630,1
18,2,0,4,521,431,1
1,2,1,4,660,532,1
2,6,1,4,411,819,1
3,2,1,4,336,346,1
4,8,1,4,904,994,1
5,8,1,4,308,989,1
6,7,1,4,925,378,1
7,3,1,4,477,762,1
8,5,1,4,639,329,1
9,3,1,4,420,321,1
10,5,1,4,527,799,1
11,7,1,4,574,430,1
12,0,1,4,812,900,1
13,1,1,4,998,258,1
14,0,1,4,373,292,1
15,6,1,4,639,313,1
16,4,1,4,961,259,1
17,4,1,4,470,422,1
18,1,1,4,516,289,1
1,1,2,4,390,747,1
2,3,2,4,613,541,1
3,3,2,4,677,621,1
4,0,2,4,416,664,1
5,4,2,4,499,269,1
6,7,2,4,404,848,1
7,0,2,4,294,698,1
8,8,2,4,537,450,1
9,4,2,4,532,569,1
10,5,2,4,304,647,1
11,5,2,4,648,549,1
12,7,2,4,844,872,1
13,6,2,4,993,743,1
14,8,2,4,278,449,1
15,1,2,4,460,543,1
16,2,2,4,720,465,1
17,2,2,4,575,765,1
18,6,2,4,900,438,1
1,5,3,4,585,362,1
2,1,3,4,512,912,1
3,1,3,4,430,854,1
4,2,3,4,655,318,1
5,8,3,4,328,559,1
6,0,3,4,389,556,1
7,7,3,4,833,309,1
8,7,3,4,445,625,1
9,6,3,4,658,584,1
10,8,3,4,406,664,1
11,2,3,4,693,932,1
12,3,3,4,483,857,1
13,4,3,4,827,457,1
14,6,3,4,563,886,1
15,4,3,4,486,261,1
16,0,3,4,468,383,1
17,3,3,4,361,720,1
18,5,3,4,697,573,1
1,7,4,4,299,758,1
2,6,4,4,320,946,1
3,5,4,4,824,448,1
4,4,4,4,496,307,1
5,0,4,4,742,793,1
6,6,4,4,370,445,1
7,4,4,4,588,469,1
8,2,4,4,407,729,1
9,8,4,4,585,707,1
10,3,4,4,651,464,1
11,1,4,4,383,257,1
12,7,4,4,300,400,1
13,3,4,4,399,562,1
14,1,4,4,513,375,1
