trial_n,rho,condition,task,ITI,ISI,block,ouA,ouB,ouC
1,100,0,3,1173,960,1,0,0,0
2,100,0,3,1211,1201,1,0,1,1
3,100,0,3,791,1017,1,0,0,1
4,100,0,3,1064,1061,1,1,0,1
5,100,0,3,1197,1309,1,0,1,0
6,100,0,3,1258,868,1,0,1,1
7,100,0,3,1307,1081,1,1,0,1
8,100,0,3,924,903,1,0,1,1
9,100,0,3,880,1326,1,0,0,0
10,100,0,3,784,786,1,1,1,1
11,100,0,3,1423,808,1,0,1,1
12,100,0,3,1162,773,1,0,0,1
1,100,1,3,1062,1034,1,0,0,1
2,100,1,3,984,750,1,1,1,1
3,100,1,3,822,875,1,0,0,1
4,100,1,3,942,852,1,0,1,0
5,100,1,3,846,1266,1,0,1,1
6,100,1,3,1069,1308,1,1,0,1
7,100,1,3,1120,1115,1,0,0,0
8,100,1,3,904,996,1,0,0,1
9,100,1,3,964,909,1,0,1,0
10,100,1,3,845,1297,1,1,0,1
11,100,1,3,840,1111,1,0,1,1
12,100,1,3,1318,1283,1,0,1,1
1,100,2,3,1391,1409,1,0,0,1
2,100,2,3,1457,895,1,0,0,1
3,100,2,3,930,1158,1,0,1,1
4,100,2,3,854,1110,1,1,1,0
5,100,2,3,880,789,1,0,1,1
6,100,2,3,1131,946,1,0,0,1
7,100,2,3,1032,1425,1,0,1,0
8,100,2,3,1167,921,1,1,0,1
9,100,2,3,894,1075,1,0,1,1
10,100,2,3,1050,927,1,0,0,1
11,100,2,3,892,775,1,0,0,0
12,100,2,3,1340,1094,1,1,1,1
1,100,3,3,857,763,1,0,0,1
2,100,3,3,766,1220,1,0,1,1
3,100,3,3,785,1498,1,1,1,1
4,100,3,3,872,762,1,0,0,0
5,100,3,3,999,1203,1,0,1,1
6,100,3,3,1262,840,1,1,0,0
7,100,3,3,763,836,1,0,1,1
8,100,3,3,1088,1126,1,0,1,1
9,100,3,3,1145,769,1,1,0,0
10,100,3,3,1301,1383,1,0,0,1
11,100,3,3,1070,869,1,0,1,1
12,100,3,3,1372,1069,1,0,0,1
1,100,4,3,900,1046,1,1,1,1
2,100,4,3,1096,1265,1,0,0,1
3,100,4,3,949,892,1,0,1,1
4,100,4,3,1146,1350,1,0,0,0
5,100,4,3,1167,838,1,1,1,1
6,100,4,3,884,1017,1,0,0,1
7,100,4,3,1244,1308,1,0,0,0
8,100,4,3,906,1442,1,0,1,1
9,100,4,3,1465,889,1,1,0,1
10,100,4,3,795,788,1,0,1,0
11,100,4,3,1452,872,1,0,0,1
12,100,4,3,793,1400,1,0,1,1
1,100,5,3,868,1446,1,0,0,1
2,100,5,3,984,1246,1,0,0,1
3,100,5,3,1421,1049,1,0,1,1
4,100,5,3,997,1225,1,1,1,0
5,100,5,3,775,796,1,0,1,1
6,100,5,3,1060,939,1,0,0,1
7,100,5,3,1287,894,1,1,1,1
8,100,5,3,933,902,1,0,0,0
9,100,5,3,837,1120,1,0,0,1
10,100,5,3,842,895,1,0,0,1
11,100,5,3,1489,911,1,1,1,1
12,100,5,3,777,1152,1,0,1,0
1,100,0,3,1356,1239,2,0,1,1
2,100,0,3,825,1039,2,0,0,1
3,100,0,3,865,924,2,0,1,0
4,100,0,3,759,920,2,1,1,1
5,100,0,3,882,1281,2,0,1,1
6,100,0,3,803,931,2,0,0,0
7,100,0,3,802,1110,2,1,0,1
8,100,0,3,947,1014,2,0,0,1
9,100,0,3,1344,930,2,0,1,1
10,100,0,3,1064,1383,2,0,0,0
11,100,0,3,874,946,2,1,0,1
12,100,0,3,759,1022,2,0,1,1
1,100,1,3,754,1104,2,0,0,1
2,100,1,3,1072,1217,2,1,1,1
3,100,1,3,1162,824,2,0,0,1
4,100,1,3,1163,894,2,0,1,0
5,100,1,3,1394,1394,2,0,1,1
6,100,1,3,1075,1032,2,1,0,0
7,100,1,3,1426,1300,2,0,1,1
8,100,1,3,1328,1160,2,0,1,1
9,100,1,3,1219,1442,2,0,0,0
10,100,1,3,1496,980,2,1,1,1
11,100,1,3,1331,1172,2,0,0,1
12,100,1,3,1162,817,2,0,0,1
1,100,2,3,963,794,2,0,1,1
2,100,2,3,865,953,2,0,0,1
3,100,2,3,769,1466,2,1,1,0
4,100,2,3,1011,929,2,0,1,1
5,100,2,3,1322,948,2,0,1,1
6,100,2,3,794,752,2,1,0,0
7,100,2,3,1384,985,2,0,1,1
8,100,2,3,1312,829,2,0,0,1
9,100,2,3,857,974,2,1,0,0
10,100,2,3,1023,1126,2,0,1,1
11,100,2,3,1268,881,2,0,0,1
12,100,2,3,831,1133,2,0,0,1
1,100,3,3,817,1195,2,0,1,1
2,100,3,3,899,1021,2,0,1,1
3,100,3,3,779,808,2,0,1,1
4,100,3,3,831,885,2,1,0,0
5,100,3,3,1063,777,2,0,0,1
6,100,3,3,892,1164,2,0,0,1
7,100,3,3,1386,1105,2,1,1,0
8,100,3,3,780,1193,2,0,0,1
9,100,3,3,1148,770,2,0,1,1
10,100,3,3,985,865,2,0,1,1
11,100,3,3,1259,1042,2,1,0,0
12,100,3,3,1304,1303,2,0,0,1
1,100,4,3,885,1176,2,0,0,1
2,100,4,3,1101,760,2,1,1,1
3,100,4,3,947,1042,2,0,1,1
4,100,4,3,983,988,2,0,1,0
5,100,4,3,1312,1496,2,0,0,0
6,100,4,3,1051,887,2,1,0,1
7,100,4,3,884,852,2,0,1,1
8,100,4,3,958,1160,2,0,0,1
9,100,4,3,1441,1109,2,1,1,0
10,100,4,3,881,1349,2,0,0,1
11,100,4,3,1319,965,2,0,1,1
12,100,4,3,1213,1143,2,0,0,1
1,100,5,3,839,950,2,0,1,1
2,100,5,3,974,821,2,0,0,0
3,100,5,3,1194,866,2,0,0,1
4,100,5,3,794,1154,2,1,1,1
5,100,5,3,938,916,2,0,0,1
6,100,5,3,979,1050,2,1,1,0
7,100,5,3,870,923,2,0,1,1
8,100,5,3,1316,1380,2,0,0,1
9,100,5,3,887,1074,2,0,1,0
10,100,5,3,937,850,2,1,1,1
11,100,5,3,1023,853,2,0,0,1
12,100,5,3,960,894,2,0,0,1
