trial_n,gen1,gen2,choice,order,condition,task,ITI,ISI,block
1,6,7,1,0,0,9,903,800,1
2,4,5,0,0,0,9,390,450,1
3,3,4,1,0,0,9,271,704,1
4,7,8,0,1,0,9,264,580,1
5,7,8,1,1,0,9,972,451,1
6,2,3,0,1,0,9,857,372,1
7,0,1,1,1,0,9,395,371,1
8,1,2,1,1,0,9,346,822,1
9,0,1,0,1,0,9,749,936,1
10,3,4,0,1,0,9,754,730,1
11,6,7,0,0,0,9,548,356,1
12,1,2,0,0,0,9,286,312,1
13,5,6,0,0,0,9,879,278,1
14,2,3,1,1,0,9,904,515,1
15,5,6,1,0,0,9,253,559,1
16,4,5,1,0,0,9,404,557,1
1,6,7,1,0,1,9,575,737,1
2,4,5,0,0,1,9,491,557,1
3,3,4,1,0,1,9,509,501,1
4,7,8,0,1,1,9,970,378,1
5,7,8,1,1,1,9,540,327,1
6,2,3,0,1,1,9,311,261,1
7,0,1,1,1,1,9,649,570,1
8,1,2,1,1,1,9,395,783,1
9,0,1,0,1,1,9,521,657,1
10,3,4,0,1,1,9,294,589,1
11,6,7,0,0,1,9,403,385,1
12,1,2,0,0,1,9,465,698,1
13,5,6,0,0,1,9,346,405,1
14,2,3,1,1,1,9,506,705,1
15,5,6,1,0,1,9,813,537,1
16,4,5,1,0,1,9,748,438,1
1,6,7,1,0,2,9,867,262,1
2,4,5,0,0,2,9,774,604,1
3,3,4,1,0,2,9,593,432,1
4,7,8,0,1,2,9,449,351,1
5,7,8,1,1,2,9,479,810,1
6,2,3,0,1,2,9,287,685,1
7,0,1,1,1,2,9,285,332,1
8,1,2,1,1,2,9,901,349,1
9,0,1,0,1,2,9,469,286,1
10,3,4,0,1,2,9,394,255,1
11,6,7,0,0,2,9,560,808,1
12,1,2,0,0,2,9,624,573,1
13,5,6,0,0,2,9,764,430,1
14,2,3,1,1,2,9,417,359,1
15,5,6,1,0,2,9,319,326,1
16,4,5,1,0,2,9,947,657,1
1,6,7,1,0,3,9,719,920,1
2,4,5,0,0,3,9,437,427,1
3,3,4,1,0,3,9,466,433,1
4,7,8,0,1,3,9,510,791,1
5,7,8,1,1,3,9,328,749,1
6,2,3,0,1,3,9,715,657,1
7,0,1,1,1,3,9,823,474,1
8,1,2,1,1,3,9,469,657,1
9,0,1,0,1,3,9,511,608,1
10,3,4,0,1,3,9,666,469,1
11,6,7,0,0,3,9,551,547,1
12,1,2,0,0,3,9,556,711,1
13,5,6,0,0,3,9,788,751,1
14,2,3,1,1,3,9,252,825,1
15,5,6,1,0,3,9,827,522,1
16,4,5,1,0,3,9,827,978,1
1,6,7,1,0,4,9,637,944,1
2,4,5,0,0,4,9,506,540,1
3,3,4,1,0,4,9,781,452,1
4,7,8,0,1,4,9,652,563,1
5,7,8,1,1,4,9,317,319,1
6,2,3,0,1,4,9,482,935,1
7,0,1,1,1,4,9,415,365,1
8,1,2,1,1,4,9,609,334,1
9,0,1,0,1,4,9,478,869,1
10,3,4,0,1,4,9,794,264,1
11,6,7,0,0,4,9,412,585,1
12,1,2,0,0,4,9,325,269,1
13,5,6,0,0,4,9,814,454,1
14,2,3,1,1,4,9,592,720,1
15,5,6,1,0,4,9,276,613,1
16,4,5,1,0,4,9,313,325,1
1,6,7,1,0,5,9,797,497,1
2,4,5,0,0,5,9,470,553,1
3,3,4,1,0,5,9,550,743,1
4,7,8,0,1,5,9,823,634,1
5,7,8,1,1,5,9,387,404,1
6,2,3,0,1,5,9,530,276,1
7,0,1,1,1,5,9,346,293,1
8,1,2,1,1,5,9,491,585,1
9,0,1,0,1,5,9,583,783,1
10,3,4,0,1,5,9,323,263,1
11,6,7,0,0,5,9,264,251,1
12,1,2,0,0,5,9,904,322,1
13,5,6,0,0,5,9,373,603,1
14,2,3,1,1,5,9,777,365,1
15,5,6,1,0,5,9,419,305,1
16,4,5,1,0,5,9,408,323,1
1,6,7,1,0,0,9,569,902,2
2,4,5,0,0,0,9,342,264,2
3,3,4,1,0,0,9,354,754,2
4,7,8,0,1,0,9,622,409,2
5,7,8,1,1,0,9,545,651,2
6,2,3,0,1,0,9,269,525,2
7,0,1,1,1,0,9,778,336,2
8,1,2,1,1,0,9,297,561,2
9,0,1,0,1,0,9,399,829,2
10,3,4,0,1,0,9,942,624,2
11,6,7,0,0,0,9,418,878,2
12,1,2,0,0,0,9,558,922,2
13,5,6,0,0,0,9,364,651,2
14,2,3,1,1,0,9,463,540,2
15,5,6,1,0,0,9,294,463,2
16,4,5,1,0,0,9,409,614,2
1,6,7,1,0,1,9,663,485,2
2,4,5,0,0,1,9,801,481,2
3,3,4,1,0,1,9,526,599,2
4,7,8,0,1,1,9,577,796,2
5,7,8,1,1,1,9,315,591,2
6,2,3,0,1,1,9,606,336,2
7,0,1,1,1,1,9,466,369,2
8,1,2,1,1,1,9,372,325,2
9,0,1,0,1,1,9,884,948,2
10,3,4,0,1,1,9,522,514,2
11,6,7,0,0,1,9,316,253,2
12,1,2,0,0,1,9,288,442,2
13,5,6,0,0,1,9,253,304,2
14,2,3,1,1,1,9,464,924,2
15,5,6,1,0,1,9,446,359,2
16,4,5,1,0,1,9,431,344,2
1,6,7,1,0,2,9,688,465,2
2,4,5,0,0,2,9,445,765,2
3,3,4,1,0,2,9,599,289,2
4,7,8,0,1,2,9,284,718,2
5,7,8,1,1,2,9,268,448,2
6,2,3,0,1,2,9,312,791,2
7,0,1,1,1,2,9,321,512,2
8,1,2,1,1,2,9,766,372,2
9,0,1,0,1,2,9,538,521,2
10,3,4,0,1,2,9,274,267,2
11,6,7,0,0,2,9,326,635,2
12,1,2,0,0,2,9,391,440,2
13,5,6,0,0,2,9,530,662,2
14,2,3,1,1,2,9,509,492,2
15,5,6,1,0,2,9,531,359,2
16,4,5,1,0,2,9,771,359,2
1,6,7,1,0,3,9,545,673,2
2,4,5,0,0,3,9,729,622,2
3,3,4,1,0,3,9,627,802,2
4,7,8,0,1,3,9,521,685,2
5,7,8,1,1,3,9,392,674,2
6,2,3,0,1,3,9,324,288,2
7,0,1,1,1,3,9,830,900,2
8,1,2,1,1,3,9,729,699,2
9,0,1,0,1,3,9,368,910,2
10,3,4,0,1,3,9,472,611,2
11,6,7,0,0,3,9,892,482,2
12,1,2,0,0,3,9,998,456,2
13,5,6,0,0,3,9,461,274,2
14,2,3,1,1,3,9,685,871,2
15,5,6,1,0,3,9,299,480,2
16,4,5,1,0,3,9,602,847,2
1,6,7,1,0,4,9,740,604,2
2,4,5,0,0,4,9,508,510,2
3,3,4,1,0,4,9,386,317,2
4,7,8,0,1,4,9,573,325,2
5,7,8,1,1,4,9,341,264,2
6,2,3,0,1,4,9,360,906,2
7,0,1,1,1,4,9,296,996,2
8,1,2,1,1,4,9,358,755,2
9,0,1,0,1,4,9,396,637,2
10,3,4,0,1,4,9,254,542,2
11,6,7,0,0,4,9,252,412,2
12,1,2,0,0,4,9,770,869,2
13,5,6,0,0,4,9,597,343,2
14,2,3,1,1,4,9,353,402,2
15,5,6,1,0,4,9,280,467,2
16,4,5,1,0,4,9,532,746,2
1,6,7,1,0,5,9,315,703,2
2,4,5,0,0,5,9,531,435,2
3,3,4,1,0,5,9,284,494,2
4,7,8,0,1,5,9,969,897,2
5,7,8,1,1,5,9,714,954,2
6,2,3,0,1,5,9,595,365,2
7,0,1,1,1,5,9,701,523,2
8,1,2,1,1,5,9,739,596,2
9,0,1,0,1,5,9,390,924,2
10,3,4,0,1,5,9,868,260,2
11,6,7,0,0,5,9,619,794,2
12,1,2,0,0,5,9,594,273,2
13,5,6,0,0,5,9,606,446,2
14,2,3,1,1,5,9,798,381,2
15,5,6,1,0,5,9,343,900,2
16,4,5,1,0,5,9,470,751,2
